id,title,num_subscribers,avg_rating,num_reviews,num_lectures,num_practice_tests,year,price_amount,discount_amount,currency
362632,Scrum Certification Prep +Scrum Master+ Agile Scrum Training,13785,4.40169,494,65,0,2015,432.0,22.75,SR
1350984,The Modern Python 3 Bootcamp,13785,4.66299,494,147,0,2018,432.0,22.75,SR
2473048,Complete Python Developer in 2020: Zero to Mastery,13785,4.64579,494,147,0,2019,432.0,22.75,SR
1879018,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",13785,4.68266,494,147,0,2018,432.0,22.75,SR
289230,Learn and Understand AngularJS,13785,4.50276,494,55,0,2014,432.0,22.75,SR
882826,The Complete Python 3 Course: Beginner to Advanced!,13785,4.21209,494,147,0,2016,432.0,22.75,SR
833442,Angular & NodeJS - The MEAN Stack Guide [2020 Edition],13785,4.61695,494,147,0,2016,432.0,22.75,SR
1075642,Apache Kafka Series - Learn Apache Kafka for Beginners v2,13785,4.66872,494,123,0,2017,448.0,22.75,SR
913448,Python A-Z™: Python For Data Science With Real Exercises!,13785,4.57585,494,75,0,2016,432.0,22.75,SR
836376,Python for Absolute Beginners,13785,4.40699,494,89,0,2016,160.0,22.75,SR
405282,PHP for Beginners - Become a PHP Master - CMS Project,13785,4.41235,494,147,0,2015,432.0,22.75,SR
1298780,Statistics for Data Science and Business Analysis,13785,4.48401,494,92,0,2017,448.0,22.75,SR
1286908,The Complete React Developer Course (w/ Hooks and Redux),13785,4.63458,494,147,0,2017,320.0,22.75,SR
1436092,React Native - The Practical Guide [2020 Edition],13785,4.64044,494,147,0,2017,432.0,22.75,SR
1219332,Artificial Intelligence A-Z™: Learn How To Build An AI,13785,4.30203,494,118,0,2017,432.0,22.75,SR
947098,Understanding TypeScript - 2020 Edition,13785,4.6798,494,147,0,2016,432.0,22.75,SR
719002,Angular Crash Course for Busy Developers,13785,4.46987,494,137,0,2016,432.0,22.75,SR
1326292,Complete Guide to TensorFlow for Deep Learning with Python,13785,4.43839,494,96,0,2017,432.0,22.75,SR
642102,Learn How To Code: Google's Go (golang) Programming Language,13785,4.54018,494,147,0,2015,112.0,22.75,SR
396876,Learning Python for Data Analysis and Visualization,13785,4.34467,494,110,0,2015,432.0,22.75,SR
1467808,C Programming For Beginners - Master the C Language,13785,4.37568,494,137,0,2017,432.0,22.75,SR
1309202,Go: The Complete Developer's Guide (Golang),13785,4.58392,494,82,0,2017,272.0,22.75,SR
41295,Learn HTML5 Programming From Scratch,13785,4.41079,494,72,0,2013,64.0,22.75,SR
892102,iOS 10 & Swift 3: From Beginner to Paid Professional™,13785,4.42857,494,147,0,2016,432.0,22.75,SR
53670,Selenium WebDriver Training with Java and Many Live Projects,13785,4.45244,494,147,0,2014,432.0,22.75,SR
221674,"Git Complete: The definitive, step-by-step guide to Git",13785,4.38646,494,84,0,2014,432.0,22.75,SR
356030,C# Advanced Topics: Prepare for Technical Interviews,13785,4.55991,494,21,0,2014,448.0,22.75,SR
1212032,Python for Financial Analysis and Algorithmic Trading,13785,4.54272,494,120,0,2017,432.0,22.75,SR
1405812,The Complete Android Oreo Developer Course - Build 23 Apps!,13785,4.46925,494,147,0,2017,432.0,22.75,SR
164058,The Ultimate Excel Programmer Course,13785,4.47151,494,147,0,2014,432.0,22.75,SR
2153774,Modern HTML & CSS From The Beginning (Including Sass),13785,4.7285,494,129,0,2019,432.0,22.75,SR
1120038,Learn JIRA with real-world examples (+Confluence bonus),13785,4.47068,494,84,0,2017,160.0,22.75,SR
1328572,The Ultimate Guide to Game Development with Unity 2019,13785,4.5467,494,147,0,2017,432.0,22.75,SR
1070124,"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",13785,4.65732,494,147,0,2017,432.0,22.75,SR
246154,Web Design for Beginners: Real World Coding in HTML & CSS,13785,4.60769,494,71,0,2014,416.0,22.75,SR
520116,The Complete WordPress Website Business Course,13785,4.44337,494,113,0,2016,432.0,22.75,SR
1313502,Bootstrap 4 From Scratch With 5 Projects,13785,4.64683,494,74,0,2017,432.0,22.75,SR
980798,Spark and Python for Big Data with PySpark,13785,4.48788,494,67,0,2017,432.0,22.75,SR
1217894,Spring Framework 5: Beginner to Guru,13785,4.48597,494,147,0,2017,432.0,22.75,SR
1455016,Build an app with ASPNET Core and Angular from scratch,13785,4.59567,494,147,0,2017,432.0,22.75,SR
1254420,Node with React: Fullstack Web Development,13785,4.60688,494,147,0,2017,432.0,22.75,SR
821726,Data Science and Machine Learning Bootcamp with R,13785,4.64483,494,127,0,2016,432.0,22.75,SR
694982,Rest API Testing (Automation) from Scratch -RestAssured Java,13785,4.56688,494,147,0,2017,432.0,22.75,SR
892806,Apache Spark with Scala - Hands On with Big Data!,13785,4.48844,494,67,0,2016,432.0,22.75,SR
1010586,Become a WordPress Developer: Unlocking Power With Code,13785,4.69692,494,121,0,2017,432.0,22.75,SR
446134,Ultimate Web Designer & Developer Course: Build 23 Projects!,13785,4.42163,494,147,0,2015,576.0,22.75,SR
519442,The Complete Ruby on Rails Developer Course,13785,4.5847,494,147,0,2015,432.0,22.75,SR
970600,REST APIs with Flask and Python,13785,4.5905,494,147,0,2016,352.0,22.75,SR
1535678,Java Programming for Complete Beginners,13785,4.41778,494,147,0,2018,432.0,22.75,SR
932344,Data Analysis with Pandas and Python,13785,4.61039,494,147,0,2016,64.0,22.75,SR
1646980,"MERN Stack Front To Back: Full Stack React, Redux & Node.js",13785,4.68095,494,73,0,2018,432.0,22.75,SR
895786,The Complete iOS 10 & Swift 3 Developer Course,13785,4.43478,494,147,0,2016,432.0,22.75,SR
714724,Docker Crash Course for busy DevOps and Developers,13785,4.38741,494,49,0,2016,400.0,22.75,SR
1466612,Ethereum and Solidity: The Complete Developer's Guide,13785,4.59836,494,147,0,2018,304.0,22.75,SR
1547268,The Complete Python Course | Learn Python by Doing,13785,4.57806,494,147,0,2018,432.0,22.75,SR
312662,Part 1 Foundation Enterprise Architect Certification Trng,13785,4.39665,494,147,0,2014,432.0,22.75,SR
1409142,The Coding Interview Bootcamp: Algorithms + Data Structures,13785,4.64994,494,135,0,2017,288.0,22.75,SR
1527300,Learn Python & Ethical Hacking From Scratch,13785,4.66272,494,147,0,2018,432.0,22.75,SR
693188,Complete Guide to Elasticsearch,13785,4.48153,494,143,0,2015,400.0,22.75,SR
358540,Java In-Depth: Become a Complete Java Engineer!,13785,4.36013,494,147,0,2016,304.0,22.75,SR
1248866,Alteryx Bootcamp,13785,4.5066,494,74,0,2017,240.0,22.75,SR
246392,WebServices/Rest API Testing with SoapUI +Real time Projects,13785,4.47368,494,112,0,2014,432.0,22.75,SR
1406344,JavaScript Algorithms and Data Structures Masterclass,13785,4.71877,494,147,0,2018,432.0,22.75,SR
1144936,Programming with Python : HandsOn Introduction for Beginners,13785,4.31145,494,35,0,2017,432.0,22.75,SR
666914,Python for Beginners: Learn Python Programming (Python 3),13785,4.45357,494,78,0,2015,432.0,22.75,SR
2365628,"Complete React Developer in 2020 (w/ Redux, Hooks, GraphQL)",13785,4.63133,494,147,0,2019,432.0,22.75,SR
1470810,The Modern JavaScript Bootcamp,13785,4.73204,494,147,0,2018,272.0,22.75,SR
1906852,MongoDB - The Complete Developer's Guide 2020,13785,4.63538,494,147,0,2018,432.0,22.75,SR
1917546,Master the Coding Interview: Data Structures + Algorithms,13785,4.63969,494,147,0,2018,432.0,22.75,SR
