id,title,categories,num_subscribers,avg_rating,num_reviews,num_lectures,num_practice_tests,year,price_amount,discount_amount,currency
2424796,"API Testing, Automation with POSTMAN and RestAssured & Java",['java'],1681,4.1,343,51,0,2019,64.0,22.75,SR
824050,Apache Spark 2.0 + Python : DO Big Data Analytics & ML,"['data science', 'AI', 'python', 'database']",2308,3.93333,343,58,0,2016,432.0,22.75,SR
1853176,"Master Full-Stack Web Development | Node, SQL, React, & More","['web', 'data science', 'database']",2664,4.5,342,147,0,2018,432.0,22.75,SR
1523130,Learn Modern OpenGL Programming,['other'],2727,4.37037,342,13,0,2018,432.0,22.75,SR
404582,Learn Java Programming from Scratch,['java'],7294,4.3,342,56,0,2016,432.0,22.75,SR
1297528,C# Basics - Learn Coding & Programming for Beginners,"['data science', 'c#']",13785,4.375,341,64,0,2017,432.0,22.75,SR
2695142,Apache Spark 3 - Spark Programming in Scala for Beginners,"['data science', 'database']",2141,4.60701,341,60,0,2020,64.0,22.75,SR
2505110,Create Websites with HTML & CSS for Beginners,"['web', 'data science', 'html', 'css']",13785,4.25,341,117,0,2019,320.0,22.75,SR
943388,Advanced Java programming with JavaFx: Write an email client,"['AI', 'java']",4402,4.59259,340,68,0,2016,432.0,22.75,SR
812874,Develop a Shopping Cart Website with Django 2 and Python 3,"['web', 'data science', 'AI', 'python', 'go']",1392,4.2,340,25,0,2018,320.0,22.75,SR
1419330,How To Create A Web Hosting Business - WHMCS Tutorial,['web'],12543,4.1,340,24,0,2017,64.0,22.75,SR
1441478,Test your Core Java skills,"['data science', 'java']",13785,4.4,339,0,0,2017,64.0,22.75,SR
764042,ReactJS and Flux: Learn By Building 10 Projects,"['web', 'javascript']",2099,3.95,339,61,0,2016,192.0,22.75,SR
1333932,A Beginners Guide to Advanced JavaScript & ES6 - ES2017,"['web', 'javascript', 'java']",1990,4.66667,339,72,0,2017,320.0,22.75,SR
675632,Epic Construct 2 Course: Complete 60 Beginner Games!,"['data science', 'game development']",3846,3.85,339,147,0,2015,432.0,22.75,SR
1833254,The Complete Introduction to OpenFOAM,['other'],1316,4.45139,339,97,0,2018,160.0,22.75,SR
3044474,The Complete Python Developer Certification Course,"['data science', 'AI', 'python']",2370,4.62397,338,58,0,2020,432.0,22.75,SR
1691572,Ionic Apps with Firebase,['database'],1517,4.44118,338,57,0,2018,160.0,22.75,SR
692244,The Philosophy of FileMaker - Part 1,['data science'],1012,4.81818,338,91,0,2016,64.0,22.75,SR
886054,Scalable programming with Scala and Spark,['other'],5155,4.35,338,55,0,2016,320.0,22.75,SR
2222648,Build a Realtime App with React Hooks and GraphQL,"['web', 'mobile']",2224,4.5,338,37,0,2019,96.0,22.75,SR
1832410,Web Development - CSS3 - Scratch till Advanced Project Based,"['web', 'css']",13785,4.27632,337,54,0,2018,64.0,22.75,SR
302174,Statistics Made Easy by Example for Analytics/ data science,['data science'],2251,4.57692,337,112,0,2014,64.0,22.75,SR
2017762,Complete Bubble Developer Course: Build Apps Without Coding,['data science'],4590,4.47692,337,108,0,2018,432.0,22.75,SR
15285,HTML Workshop,"['web', 'html']",13785,4.2,336,17,0,2012,64.0,22.75,SR
1780798,A Gentle Introduction To ASP.NET Web Forms For Beginners,"['web', 'data science']",1234,4.4375,336,105,0,2018,80.0,22.75,SR
1224872,TestNG Complete Bootcamp For Beginners - Novice To Ninja,['data science'],3831,4.45,336,38,0,2017,320.0,22.75,SR
1446232,Digital Signal Processing  (DSP)  From Ground Up™ in  C,['software development tools'],2354,4.34211,336,106,0,2018,416.0,22.75,SR
212396,Working with MongoDB,['database'],2981,4.05,335,8,0,2014,176.0,22.75,SR
2274095,"Full-Stack React, Python, and GraphQL","['data science', 'AI', 'python']",2078,4.32955,335,65,0,2019,96.0,22.75,SR
1870470,Oracle Fusion Technical-Business Intelligence & OTBI Reports,['database'],1382,4.15556,335,72,0,2018,304.0,22.75,SR
550998,Data Mining with R: Go from Beginner to Advanced!,"['data science', 'go']",4040,4.39286,335,80,0,2015,432.0,22.75,SR
1623660,Magento 2 Essential Video Training,['AI'],4066,4.28846,334,42,0,2018,64.0,22.75,SR
3210975,Fundamental Data Analysis and Visualization Tools in Python,"['data science', 'AI', 'python']",13785,4.24773,334,7,0,2020,64.0,22.75,SR
584758,Bootstrap 3 Beginners: Create a Professional Landing Page,['web'],3438,4.65,334,55,0,2015,64.0,22.75,SR
83302,Intro to C# Programming and Scripting for Games in Unity,"['data science', 'c#', 'game development']",4768,4.4,333,61,0,2013,64.0,22.75,SR
298212,Android Studio Course. Build Apps. Android 6.0 Marshmallow,['mobile'],8877,4.0,333,89,0,2014,160.0,22.75,SR
1324688,Learn DevOps with Jenkins All in One Guide,['software development tools'],13785,4.42308,333,33,0,2017,160.0,22.75,SR
386242,Software testing and Automation of APIs with UFT/QTP,['other'],2283,3.76667,333,115,0,2015,144.0,22.75,SR
2383398,Complete Python Course: Go From Beginner To Expert,"['data science', 'AI', 'python', 'go']",13785,2.8437499999999996,332,19,0,2019,432.0,22.75,SR
1340862,WordPress E-Commerce Development w/ WooCommerce & Storefront,['web'],2619,4.14103,332,122,0,2017,432.0,22.75,SR
17615,Beginner's Guide to PostgreSQL,['database'],1900,4.0,332,70,0,2012,160.0,22.75,SR
1422934,Learning Path: The Roadway to IBM Cognos Analytics,['other'],1474,3.80556,332,49,0,2017,432.0,22.75,SR
1183780,Reactive Programming in iOS with RxSwift,['mobile'],1261,4.14286,331,34,0,2017,176.0,22.75,SR
2195280,React js. From the beginning. w/ Redux and React Router,"['web', 'javascript']",1557,4.57353,331,147,0,2019,192.0,22.75,SR
1390412,Microsoft SQL Server 2017 Database Training For Beginners,"['data science', 'AI', 'database']",1371,4.13636,331,102,0,2017,432.0,22.75,SR
1963420,Mastering Regular Expressions in JavaScript,"['web', 'data science', 'javascript', 'java']",2249,4.66327,331,56,0,2018,224.0,22.75,SR
418320,Learn C++ Programming  for beginners from basics to advanced,"['data science', 'cpp']",13785,4.28571,330,107,0,2015,64.0,22.75,SR
491200,"Gherkin and Cucumber: BDD Testing for IOS, Android, and Web","['web', 'data science', 'mobile']",5989,3.5,330,36,0,2015,64.0,22.75,SR
2090372,Salesforce Development With Real-Time Project,['other'],2378,4.22826,330,63,0,2018,448.0,22.75,SR
